id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
d76acc9e45a,1.68513E+12,"{""latitude"":58.99589820662555,""longitude"":17.360608311407233}","{""latitude"":55.4916349924089,""longitude"":14.275522579596064}",71377.12829,,43,50,,,,,,
3cec7836f7f,1.68488E+12,"{""latitude"":59.03990790254395,""longitude"":18.006278138424623}","{""latitude"":55.98074387535753,""longitude"":14.133638204722354}",72440.60029,,43,50,,,,,,
dabe0f8662a,1.68455E+12,"{""latitude"":56.01755641480403,""longitude"":14.422495716303624}","{""latitude"":60.430485556751535,""longitude"":12.752176843419164}",73305.66105,,43,50,,,,,,
778f4397834,1.68503E+12,"{""latitude"":56.15910094008209,""longitude"":14.110115319610617}","{""latitude"":59.66071429769435,""longitude"":18.14141407471061}",74003.30198,,43,50,,,,,,
3f2ec5297a0,1.68452E+12,"{""latitude"":59.90097734131084,""longitude"":17.888958742801982}","{""latitude"":56.32525665191964,""longitude"":14.718928304409953}",75412.73361,,43,50,,,,,,
96eaada082d,1.68449E+12,"{""latitude"":55.5690909492076,""longitude"":14.090149956276662}","{""latitude"":60.02192186824997,""longitude"":16.139938197442714}",77759.79458,,22,25,,,,,,
f1703cb3431,1.68516E+12,"{""latitude"":60.223813800085864,""longitude"":18.15935823165254}","{""latitude"":56.232706794920254,""longitude"":13.672659115634366}",81091.476,,43,50,,,,,,
4204d7230b6,1.6849E+12,"{""latitude"":55.81387519301071,""longitude"":13.129562810000202}","{""latitude"":59.90175479045647,""longitude"":17.33046360989217}",83660.83974,,43,50,,,,,,
5d2525f2458,1.68517E+12,"{""latitude"":60.35150424555343,""longitude"":17.53142018176032}","{""latitude"":56.18078357319775,""longitude"":14.01637921681113}",85660.24512,,43,50,,,,,,
e948d702d59,1.68514E+12,"{""latitude"":60.584548639539115,""longitude"":17.468471884119005}","{""latitude"":56.302544390400165,""longitude"":13.980537451691248}",87259.95332,,43,50,,,,,,
